"station","date","lat","lon","NO23","uni"
"21FLHILL_WQX-141","1999-03-16",28.0261,-82.5812,0.468,"mg/L"
"21FLHILL_WQX-093","1999-04-27",27.578899,-82.744102,0.005,"mg/L"
"21FLHILL_WQX-109","1999-09-23",27.945999,-82.401604,0.012,"mg/L"
"21FLHILL_WQX-093","1999-11-30",27.578899,-82.744102,0.004,"mg/L"
"21FLHILL_WQX-054","1999-09-14",27.9319,-82.432602,0.005,"mg/L"
"21FLHILL_WQX-061","1999-01-05",27.9687,-82.562103,0.019,"mg/L"
"21FLHILL_WQX-008","1999-12-07",27.8524,-82.409302,0.01,"mg/L"
"21FLHILL_WQX-063","1999-12-01",27.9676,-82.575996,0.003,"mg/L"
"21FLHILL_WQX-144","1999-07-21",27.8381,-82.382202,0.026,"mg/L"
"21FLHILL_WQX-058","1999-09-14",27.9398,-82.419601,0.004,"mg/L"
"21FLHILL_WQX-146","1999-04-20",28.0541,-82.345001,0.027,"mg/L"
"21FLHILL_WQX-133","1999-05-19",27.915001,-82.402199,1.268,"mg/L"
"21FLHILL_WQX-136","1999-12-15",27.68,-82.499199,0.017,"mg/L"
"21FLHILL_WQX-101","1999-03-16",28.024799,-82.631599,0.043,"mg/L"
"21FLHILL_WQX-142","1999-12-14",28.026699,-82.538002,0.052,"mg/L"
"21FLHILL_WQX-007","1999-07-13",27.85889,-82.468597,0.003,"mg/L"
"21FLMANA_WQX-421","1999-10-11",27.5765083,-82.6524944,0.025,"mg/L"
"21FLHILL_WQX-092","1999-11-30",27.5737,-82.686798,0.003,"mg/L"
"21FLHILL_WQX-144","1999-04-21",27.8381,-82.382202,0.012,"mg/L"
"21FLHILL_WQX-044","1999-05-11",27.9237,-82.480698,0.017,"mg/L"
"21FLHILL_WQX-008","1999-02-09",27.8524,-82.409302,0.014,"mg/L"
"21FLHILL_WQX-084","1999-12-08",27.729,-82.498703,0.004,"mg/L"
"21FLMANA_WQX-459","1999-10-12",27.5288277,-82.7036111,0.02,"mg/L"
"21FLMANA_WQX-336","1999-04-05",27.6474222,-82.5651611,0.017,"mg/L"
"21FLHILL_WQX-146","1999-01-19",28.0541,-82.345001,0.021,"mg/L"
"21FLHILL_WQX-132","1999-05-19",27.835699,-82.346199,0.578,"mg/L"
"21FLHILL_WQX-007","1999-03-09",27.85889,-82.468597,0.007,"mg/L"
"21FLMANA_WQX-432","1999-01-19",27.5431,-82.6445527,0.04,"mg/L"
"21FLHILL_WQX-136","1999-04-21",27.68,-82.499199,0.012,"mg/L"
"21FLMANA_WQX-449","1999-05-18",27.5458083,-82.70095,0.031,"mg/L"
"21FLHILL_WQX-102","1999-12-14",28.010599,-82.607803,0.025,"mg/L"
"21FLHILL_WQX-070","1999-08-10",27.908899,-82.463203,0.003,"mg/L"
"21FLHILL_WQX-147","1999-05-18",27.981501,-82.3545,0.008,"mg/L"
